All TRREB Areas,5'294,$5'730'732'729,$1'082'496,$933'250,12'296,51.1%,,2.2,100%,20,28,-5.92,0.28,0.35,16.69,-11.28,2.04,-9.09
Halton Region,554,$681'635'502,$1'230'389,$1'090'000,1'231,55.2%,,2.0,99%,22,29,-5.94,1.91,8.78,17.91,-5.96,3.12,-12.0
Burlington,185,$199'040'967,$1'075'897,$999'000,339,59.7%,,1.9,98%,23,28,-12.32,0.55,3.52,-11.72,-4.02,2.08,-4.17
Halton Hills,47,$58'782'890,$1'250'700,$1'101'500,126,52.7%,,2.1,98%,17,28,-18.97,8.57,10.65,1.61,-5.72,2.08,-29.17
Milton,139,$150'649'921,$1'083'812,$1'045'000,298,56.4%,,1.6,100%,22,27,-9.15,8.11,8.85,51.27,-1.05,2.04,4.76
Oakville,183,$273'161'724,$1'492'687,$1'400'000,468,51.3%,,2.3,98%,21,32,9.58,-5.98,13.17,38.05,-11.25,3.16,-25.0
Peel Region,974,$1'023'601'236,$1'050'925,$950'000,2'538,49.2%,,2.1,99%,20,30,-7.94,-1.13,-2.06,19.89,-13.07,2.06,-9.09
Brampton,425,$430'841'365,$1'013'744,$940'000,1'202,48.3%,,2.0,100%,20,31,-16.34,-0.48,-1.98,34.15,-13.44,3.09,-4.76
Caledon,44,$58'857'499,$1'337'670,$1'105'000,178,40.4%,,3.5,96%,25,32,-30.16,1.99,6.25,2.3,-16.53,1.05,-3.85
Mississauga,505,$533'902'372,$1'057'232,$947'500,1'158,51.6%,,2.1,99%,20,30,3.7,-1.84,-2.82,10.6,-11.79,2.06,-13.04
City of Toronto,1'891,$1'902'241'627,$1'005'945,$810'000,4'330,49.3%,,2.4,101%,21,29,-0.05,-2.52,-1.22,14.4,-15.29,3.06,-8.7
Toronto West,459,$456'184'396,$993'866,$860'500,1'039,50.8%,,2.3,100%,21,30,3.15,3.45,2.14,3.49,-13.75,2.04,-12.5
Toronto Central,921,$964'707'914,$1'047'457,$750'000,2'314,45.5%,,2.8,100%,22,32,-5.83,-4.85,-2.6,24.08,-18.75,3.09,-8.33
Toronto East,511,$481'349'317,$941'975,$910'000,977,56.8%,,1.6,104%,17,23,8.96,-1.47,-3.19,6.66,-8.53,4.0,-15.0
York Region,921,$1'233'902'636,$1'339'742,$1'250'000,2'142,52.4%,,2.1,101%,20,27,-13.36,5.86,6.84,20.0,-5.92,3.06,-13.04
Aurora,68,$99'425'088,$1'462'134,$1'375'000,121,61.0%,,1.6,101%,15,19,-17.07,22.75,28.38,14.15,10.51,4.12,-34.78
East Gwillimbury,32,$43'868'094,$1'370'878,$1'342'500,79,48.2%,,2.4,98%,22,27,-23.81,7.35,15.48,-11.24,-9.06,-1.01,-8.33
Georgina,57,$52'266'312,$916'953,$832'900,127,48.3%,,2.5,96%,27,39,-12.31,6.38,-0.85,7.63,-8.87,-1.03,22.73
King,20,$42'379'000,$2'118'950,$1'812'500,60,35.6%,,5.0,93%,23,46,-16.67,-2.11,-0.68,-24.05,-23.61,2.2,0.0
Markham,243,$311'530'552,$1'282'019,$1'240'000,473,59.0%,,1.6,103%,17,22,-10.0,0.67,2.02,15.65,-0.51,1.98,-19.05
Newmarket,63,$77'297'573,$1'226'946,$1'180'000,149,56.8%,,1.6,101%,19,26,-21.25,16.73,22.41,24.17,-7.94,4.12,-9.52
Richmond Hill,161,$240'692'567,$1'494'985,$1'360'000,395,49.6%,,2.3,101%,23,33,-13.9,9.33,4.62,27.42,-9.49,1.0,-11.54
Vaughan,228,$302'563'850,$1'327'034,$1'250'000,629,49.2%,,2.3,100%,20,27,-12.31,4.13,3.91,41.99,-9.06,3.09,-13.04
Stouffville,49,$63'879'600,$1'303'665,$1'250'000,109,52.1%,,2.3,101%,23,28,-7.55,-2.85,-3.02,-1.8,-0.57,4.12,9.52
Durham Region,776,$722'341'280,$930'852,$875'000,1'526,56.9%,,1.5,103%,15,22,-3.72,1.15,2.46,19.69,-8.37,3.0,-11.76
Ajax,113,$111'107'597,$983'253,$936'000,183,60.1%,,1.2,104%,14,21,8.65,0.34,0.65,7.65,-1.96,1.96,-12.5
Brock,18,$15'615'900,$867'550,$777'500,38,45.4%,,3.1,95%,35,52,28.57,15.97,10.28,5.56,-12.02,-1.04,25.0
Clarington,135,$118'175'054,$875'371,$810'000,239,60.4%,,1.4,102%,18,25,-11.76,-5.22,-3.57,-0.83,-4.73,4.08,5.88
Oshawa,243,$198'068'730,$815'098,$792'000,481,54.8%,,1.5,104%,14,19,2.53,2.3,6.31,34.36,-13.15,1.96,-12.5
Pickering,97,$100'417'386,$1'035'231,$955'000,218,55.9%,,1.5,102%,14,20,2.11,4.57,6.7,28.24,-7.3,3.03,-17.65
Scugog,33,$34'071'300,$1'032'464,$950'000,52,54.6%,,2.2,99%,14,19,37.5,8.79,2.15,26.83,-13.33,-1.0,-30.0
Uxbridge,24,$29'493'950,$1'228'915,$1'280'000,42,52.7%,,2.2,99%,18,21,9.09,-8.3,5.05,27.27,-17.66,2.06,-5.26
Whitby,113,$115'391'363,$1'021'163,$980'000,273,58.0%,,1.3,102%,15,21,-28.03,4.85,7.69,20.8,-6.3,2.0,0.0
Dufferin County,30,$25'306'775,$843'559,$813'750,73,62.5%,,1.7,98%,27,36,-31.82,1.74,2.75,14.06,1.63,-1.01,-3.57
Orangeville,30,$25'306'775,$843'559,$813'750,73,62.5%,,1.7,98%,27,36,-31.82,1.74,2.75,14.06,1.63,-1.01,-3.57
Simcoe County,148,$141'703'673,$957'457,$876'500,456,43.3%,,3.1,98%,24,36,-15.43,3.09,4.97,-2.36,-11.09,2.08,-4.0
Adjala-Tosorontio,10,$14'735'000,$1'473'500,$1'207'500,26,43.8%,,4.3,95%,49,59,0.0,13.95,8.05,0.0,-4.99,0.0,11.36
Bradford,20,$22'003'000,$1'100'150,$1'025'000,107,46.1%,,2.3,99%,20,33,-41.18,0.98,-1.2,16.3,-4.55,4.21,-16.67
Essa,19,$15'733'400,$828'074,$711'000,40,51.9%,,2.2,96%,31,43,-34.48,1.45,0.14,-39.39,-1.89,-1.03,40.91
Innisfil,56,$51'819'874,$925'355,$879'000,165,34.8%,,4.2,98%,22,34,5.66,4.78,11.13,5.1,-23.52,2.08,-8.33
